Instance_number,coorte,crediti_totali,crediti_con_voto,voto_medio,ASD,data_ASD,ARC,data_ARC,PRG,data_PRG,ANI,data_ANI,MDL,data_MDL,INGLESE,data_INGLESE,TEST,Cluster
0,0,0.111111,0.117647,0.307692,0.709677,2011-06-15,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.52,1
0.003175,0,0.611111,0.588235,0.692308,0.903226,2011-07-06,0,0000-00-00,0.806452,2011-09-23,0.935484,2011-07-26,0,0000-00-00,0,2011-06-21,0.88,2
0.006349,0,1,1,0.846154,1,2011-06-15,0.967742,2011-08-30,0.903226,2011-06-20,0.903226,2011-06-10,0.967742,2011-07-07,0,2011-10-18,0.64,0
0.009524,0,0.777778,0.764706,0.692308,0.83871,2011-06-15,0,0000-00-00,0.741935,2011-06-20,0.967742,2011-09-09,0.967742,2011-07-27,0,2011-10-04,0.76,2
0.012698,0,0.611111,0.588235,0.538462,0.83871,2011-06-15,0,0000-00-00,0.83871,2011-07-11,0.741935,2011-09-09,0,0000-00-00,0,2011-06-09,0.72,2
0.015873,0,0.611111,0.588235,0.461538,0.774194,2011-06-15,0,0000-00-00,0.774194,2011-07-11,0.774194,2011-09-09,0,0000-00-00,0,2011-10-25,0.6,2
0.019048,0,0.333333,0.352941,1,0,0000-00-00,0,0000-00-00,1,2011-07-22,0.967742,2011-06-10,0,0000-00-00,0,0000-00-00,0.72,2
0.022222,0,0.166667,0.117647,0,0.580645,2011-07-22,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2011-06-21,0.44,1
0.025397,0,0.333333,0.352941,0.153846,0.677419,2011-07-06,0,0000-00-00,0,0000-00-00,0.612903,2011-09-09,0,0000-00-00,0,0000-00-00,0.44,1
0.028571,0,0.611111,0.588235,0.615385,0.870968,2011-07-22,0,0000-00-00,0.774194,2011-07-11,0.903226,2011-07-01,0,0000-00-00,0,2011-02-22,0.52,2
0.031746,0,1,1,0.846154,0.967742,2011-07-06,0.935484,2011-09-13,0.83871,2011-06-20,1,2011-06-10,0.870968,2011-07-25,0,2011-09-27,0.76,0
0.034921,0,1,1,0.692308,0.903226,2011-06-15,0.903226,2011-08-30,0.870968,2011-07-11,0.903226,2011-07-26,0.741935,2011-07-05,0,2011-09-22,0.68,0
0.038095,0,0.166667,0.117647,0.307692,0.709677,2011-07-22,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2011-05-17,0.56,1
0.04127,0,0.277778,0.294118,0.538462,0.903226,2011-07-06,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.677419,2011-09-19,0,0000-00-00,0.8,1
0.044444,0,0.777778,0.764706,0.615385,0.967742,2011-06-15,0.870968,2011-08-30,0.903226,2011-06-20,0,0000-00-00,0.645161,2011-07-07,0,2011-06-23,0.56,0
0.047619,0,0.111111,0.117647,0.538462,0.806452,2011-06-15,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.68,1
0.050794,0,0.055556,0.058824,0.153846,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.645161,2011-07-26,0,0000-00-00,0.68,1
0.053968,0,1,1,0.846154,0.967742,2011-06-15,0.903226,2011-09-13,0.967742,2011-06-20,0.967742,2011-09-09,0.903226,2011-07-05,0,2011-11-29,0.84,0
0.057143,0,0.722222,0.764706,0.692308,0.967742,2011-07-06,0,0000-00-00,0.83871,2011-09-23,0.967742,2011-06-10,0.741935,2011-07-26,0,0000-00-00,0.68,2
0.060317,0,0.111111,0.117647,0.307692,0.709677,2011-09-21,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.36,1
0.063492,0,0.722222,0.764706,0.846154,0.903226,2011-06-15,0,0000-00-00,1,2011-07-22,0.967742,2011-07-01,0.870968,2011-09-19,0,0000-00-00,0.72,2
0.066667,0,0.333333,0.352941,0.538462,0.741935,2011-07-06,0,0000-00-00,0.83871,2011-06-20,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.64,2
0.069841,0,0.111111,0.117647,0.538462,0.806452,2011-07-06,0,0000-00-00,0.806452,2011-09-23,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.4,2
0.073016,0,0.333333,0.352941,0.692308,0.870968,2011-06-15,0,0000-00-00,0.870968,2011-06-20,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.8,2
0.07619,0,0.111111,0.117647,0,0.580645,2011-07-26,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.48,1
0.079365,0,0.111111,0.117647,0.615385,0.83871,2011-07-26,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.6,1
0.08254,0,0.111111,0.117647,0.461538,0.774194,2011-09-21,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.4,1
0.085714,0,0.166667,0.117647,0.538462,0.806452,2011-07-06,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2011-05-10,0.56,1
0.088889,0,0.111111,0.117647,0.923077,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.967742,2011-07-26,0,0000-00-00,0,0000-00-00,0.72,1
0.092063,0.2,0.111111,0.117647,0.615385,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.83871,2012-07-27,0,0000-00-00,0,0000-00-00,0.72,1
0.095238,0.2,0.111111,0.117647,0.692308,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.870968,2012-07-27,0,0000-00-00,0,0000-00-00,0.56,1
0.098413,0.2,0.388889,0.352941,0.384615,0,0000-00-00,0,0000-00-00,0.709677,2012-07-25,0.774194,2012-07-06,0,0000-00-00,0,2012-11-13,0.68,2
0.101587,0.2,0.333333,0.352941,0.307692,0.741935,2012-09-18,0,0000-00-00,0.645161,2012-09-20,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.48,2
0.104762,0.2,0.5,0.529412,0.615385,0.903226,2012-07-11,0,0000-00-00,0.903226,2012-09-20,0,0000-00-00,0.709677,2012-09-13,0,0000-00-00,0.76,2
0.107937,0.2,0.166667,0.117647,0.538462,0.806452,2012-09-21,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2012-06-25,0.56,1
0.111111,0.2,1,1,0.384615,0.806452,2012-09-21,0.645161,2012-06-18,0.709677,2012-09-20,0.83871,2012-09-21,0.709677,2012-07-12,0,2012-03-20,0.68,0
0.114286,0.2,0.555556,0.588235,0.769231,0.903226,2012-07-31,0.806452,2012-07-17,0.967742,2012-06-21,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.52,0
0.11746,0.2,0.388889,0.352941,0.384615,0.741935,2012-07-11,0,0000-00-00,0.709677,2012-07-25,0,0000-00-00,0,0000-00-00,0,2012-01-19,0.64,2
0.120635,0.2,0.333333,0.352941,0.461538,0.806452,2012-06-19,0,0000-00-00,0.709677,2012-07-10,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2
0.12381,0.2,0.166667,0.117647,0.153846,0.645161,2012-09-18,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2012-01-25,0.64,1
0.126984,0.2,0.555556,0.588235,0.615385,0.870968,2012-09-18,0,0000-00-00,0.870968,2012-09-20,0.774194,2012-07-06,0,0000-00-00,0,0000-00-00,0.8,2
0.130159,0.2,0.555556,0.588235,0.846154,0.967742,2012-06-22,0,0000-00-00,0.903226,2012-07-10,0.967742,2012-07-27,0,0000-00-00,0,0000-00-00,0.68,2
0.133333,0.2,0.944444,1,0.461538,0.870968,2012-07-11,0.741935,2012-07-30,0.774194,2012-07-10,0.903226,2012-06-22,0.645161,2012-06-14,0,0000-00-00,0.76,0
0.136508,0.2,0.611111,0.588235,0.692308,0.967742,2012-07-11,0,0000-00-00,0.83871,2012-06-21,0.83871,2012-06-22,0,0000-00-00,0,2012-10-02,0.44,2
0.139683,0.2,0.333333,0.352941,0.538462,0.806452,2012-09-18,0,0000-00-00,0,0000-00-00,0.806452,2012-06-22,0,0000-00-00,0,0000-00-00,0.56,1
0.142857,0.2,0.611111,0.588235,0.461538,0.709677,2012-07-11,0,0000-00-00,0.806452,2012-07-10,0.774194,2012-06-22,0,0000-00-00,0,2012-11-22,0.52,2
0.146032,0.2,0.333333,0.352941,0.384615,0.83871,2012-06-19,0,0000-00-00,0.612903,2012-09-20,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.52,2
0.149206,0.2,0.333333,0.352941,0.538462,0.806452,2012-07-31,0,0000-00-00,0.774194,2012-07-25,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.56,2
0.152381,0.2,0.333333,0.352941,0.461538,0,0000-00-00,0.645161,2012-09-24,0,0000-00-00,0.870968,2012-06-22,0,0000-00-00,0,0000-00-00,0.68,1
0.155556,0.2,0.333333,0.352941,0.461538,0.774194,2012-07-11,0,0000-00-00,0,0000-00-00,0.741935,2012-07-27,0,0000-00-00,0,0000-00-00,0.76,1
0.15873,0.2,0.166667,0.117647,0.538462,0.806452,2012-07-11,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2012-05-16,0.68,1
0.161905,0.2,0.111111,0.117647,0.461538,0,0000-00-00,0.774194,2012-06-18,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.56,1
0.165079,0.2,0.944444,1,0.692308,0.903226,2012-07-11,0.870968,2012-07-17,0.806452,2012-07-10,0.967742,2012-06-22,0.83871,2012-06-14,0,0000-00-00,0.48,0
0.168254,0.2,0.333333,0.352941,0.538462,0.870968,2012-07-11,0,0000-00-00,0.741935,2012-07-10,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.56,2
0.171429,0.2,0.388889,0.352941,0.692308,0.870968,2012-06-19,0,0000-00-00,0,0000-00-00,0.83871,2012-09-21,0,0000-00-00,0,2012-05-16,0.68,1
0.174603,0.2,0.388889,0.352941,0.461538,0.870968,2012-07-11,0.645161,2012-06-18,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2012-03-27,0.48,1
0.177778,0.2,0.833333,0.823529,0.692308,1,2012-06-19,0.806452,2012-07-30,0.806452,2012-06-21,0.83871,2012-07-06,0,0000-00-00,0,2012-10-30,0.64,0
0.180952,0.2,0.333333,0.352941,0.538462,0.870968,2012-07-11,0,0000-00-00,0.709677,2012-07-10,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.68,2
0.184127,0.2,0.111111,0.117647,0.692308,0.870968,2012-07-11,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.48,1
0.187302,0.2,0.111111,0.117647,0.384615,0.741935,2012-06-19,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.72,1
0.190476,0.2,0.5,0.529412,0.384615,0.806452,2012-07-11,0,0000-00-00,0.741935,2012-07-10,0,0000-00-00,0.677419,2012-08-01,0,0000-00-00,0.64,2
0.193651,0.2,0.777778,0.823529,0.692308,0.967742,2012-07-31,0.967742,2012-07-10,0.709677,2012-07-25,0.806452,2012-09-21,0,0000-00-00,0,0000-00-00,0.48,0
0.196825,0.4,0.777778,0.764706,0.692308,0.967742,2013-06-20,0,0000-00-00,0.935484,2013-07-18,0.903226,2013-07-18,0.645161,2013-09-11,0,2013-04-16,0.44,2
0.2,0.4,0.555556,0.588235,0.538462,0.774194,2013-09-19,0,0000-00-00,0.967742,2013-07-31,0.677419,2013-09-05,0,0000-00-00,0,0000-00-00,0.48,2
0.203175,0.4,0.277778,0.294118,0.384615,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.83871,2013-06-27,0.645161,2013-07-31,0,0000-00-00,0.52,1
0.206349,0.4,0.833333,0.823529,0.846154,0.967742,2013-06-21,0.870968,2013-07-24,1,2013-06-20,0.870968,2013-09-05,0,0000-00-00,0,2013-04-16,0.44,0
0.209524,0.4,0.333333,0.352941,1,0.967742,2013-07-11,0,0000-00-00,1,2013-07-18,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.56,2
0.212698,0.4,1,1,0.846154,1,2013-06-20,0.774194,2013-06-12,0.967742,2013-06-20,1,2013-06-27,0.903226,2013-07-30,0,2013-05-07,0.84,0
0.215873,0.4,1,1,0.769231,0.967742,2013-07-11,0.870968,2013-06-12,1,2013-06-20,0.774194,2013-09-05,0.903226,2013-07-03,0,2013-02-05,0.64,0
0.219048,0.4,0.333333,0.352941,0.846154,0.967742,2013-09-19,0,0000-00-00,0,0000-00-00,0.903226,2013-07-18,0,0000-00-00,0,0000-00-00,0.64,1
0.222222,0.4,1,1,0.692308,1,2013-06-21,0.806452,2013-07-08,0.870968,2013-07-18,0.903226,2013-07-18,0.774194,2013-06-12,0,2013-04-16,0.64,0
0.225397,0.4,0.111111,0.117647,0.692308,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.870968,2013-09-19,0,0000-00-00,0,0000-00-00,0.48,1
0.228571,0.4,0.111111,0.117647,0.692308,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.870968,2013-07-18,0,0000-00-00,0,0000-00-00,0.56,1
0.231746,0.4,0.388889,0.352941,0.769231,0.806452,2013-06-21,0,0000-00-00,1,2013-07-18,0,0000-00-00,0,0000-00-00,0,2013-05-21,0.72,2
0.234921,0.4,0.777778,0.764706,0.615385,0.967742,2013-06-20,0.806452,2013-09-19,0.967742,2013-06-20,0,0000-00-00,0.645161,2013-09-12,0,2013-04-09,0.8,0
0.238095,0.4,0.388889,0.352941,0.615385,0.967742,2013-07-26,0,0000-00-00,0,0000-00-00,0.709677,2013-09-05,0,0000-00-00,0,2013-12-10,0.52,1
0.24127,0.4,0.555556,0.588235,0.538462,0.903226,2013-07-26,0,0000-00-00,0.83871,2013-07-31,0.677419,2013-09-05,0,0000-00-00,0,0000-00-00,0.4,2
0.244444,0.4,0.333333,0.352941,0.384615,0.870968,2013-09-19,0,0000-00-00,0.580645,2013-09-13,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.64,2
0.247619,0.4,0.555556,0.588235,0.384615,0.870968,2013-07-11,0,0000-00-00,0.580645,2013-07-18,0.806452,2013-09-05,0,0000-00-00,0,0000-00-00,0.64,2
0.250794,0.4,0.388889,0.352941,0.230769,0.580645,2013-09-19,0,0000-00-00,0.741935,2013-09-23,0,0000-00-00,0,0000-00-00,0,2013-02-13,0.56,2
0.253968,0.4,0.777778,0.823529,0.923077,1,2013-07-11,0.935484,2013-06-12,1,2013-07-18,0.903226,2013-09-05,0,0000-00-00,0,0000-00-00,0.48,0
0.257143,0.4,0.722222,0.764706,0.769231,0.83871,2013-07-11,0,0000-00-00,0.967742,2013-07-31,0.935484,2013-09-19,0.83871,2013-09-11,0,0000-00-00,0.8,2
0.260317,0.4,0.555556,0.588235,1,0.967742,2013-07-26,0,0000-00-00,1,2013-07-18,1,2013-06-27,0,0000-00-00,0,0000-00-00,0.48,2
0.263492,0.4,0.388889,0.352941,0.461538,0.903226,2013-07-26,0,0000-00-00,0,0000-00-00,0.645161,2013-07-18,0,0000-00-00,0,2013-03-26,0.44,1
0.266667,0.4,1,1,0.923077,1,2013-07-26,0.903226,2013-06-12,1,2013-07-31,0.967742,2013-09-05,0.967742,2013-07-03,0,2013-03-05,0.76,0
0.269841,0.4,0.388889,0.352941,0.384615,0.580645,2013-07-11,0,0000-00-00,0.870968,2013-09-23,0,0000-00-00,0,0000-00-00,0,2013-04-09,0.48,2
0.273016,0.4,0.111111,0.117647,0.153846,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.645161,2013-07-18,0,0000-00-00,0,0000-00-00,0.52,1
0.27619,0.4,0.944444,1,0.461538,0.741935,2013-06-21,0.645161,2013-07-24,0.967742,2013-07-18,0.83871,2013-06-27,0.709677,2013-09-11,0,0000-00-00,0.68,0
0.279365,0.4,0.555556,0.529412,0.769231,0.935484,2013-07-11,0,0000-00-00,0,0000-00-00,0.903226,2013-07-18,0.83871,2013-09-11,0,2013-06-10,0.52,1
0.28254,0.4,0.777778,0.764706,0.538462,0.83871,2013-07-11,0,0000-00-00,0.870968,2013-07-18,0.967742,2013-07-18,0.580645,2013-09-10,0,2013-04-23,0.64,2
0.285714,0.4,1,1,0.923077,0.967742,2013-06-20,0.967742,2013-06-12,0.967742,2013-06-20,1,2013-06-27,1,2013-06-12,0,2013-05-09,0.96,0
0.288889,0.4,0.555556,0.588235,0.769231,0.967742,2013-07-11,0,0000-00-00,0.967742,2013-07-18,0.741935,2013-07-18,0,0000-00-00,0,0000-00-00,0.6,2
0.292063,0.4,0.333333,0.352941,0.615385,0.709677,2013-09-19,0,0000-00-00,0.967742,2013-07-31,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.64,2
0.295238,0.4,0.833333,0.823529,0.615385,0.83871,2013-07-26,0.774194,2013-06-12,0.935484,2013-07-18,0.774194,2013-06-27,0,0000-00-00,0,2013-03-06,0.6,0
0.298413,0.4,0.5,0.529412,0.384615,0.806452,2013-09-19,0,0000-00-00,0,0000-00-00,0.774194,2013-06-27,0.645161,2013-07-30,0,2013-12-02,0.36,1
0.301587,0.4,0.333333,0.294118,0.769231,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.967742,2013-07-18,0.806452,2013-06-12,0,2013-06-05,0.52,1
0.304762,0.4,1,1,0.538462,0.967742,2013-07-11,0.83871,2013-09-19,0.645161,2013-06-20,0.774194,2013-06-27,0.774194,2013-07-30,0,2013-05-14,0.48,0
0.307937,0.4,0.111111,0.117647,0.461538,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.774194,2013-09-19,0,0000-00-00,0,0000-00-00,0.84,1
0.311111,0.4,0.388889,0.352941,0.538462,0.774194,2013-09-19,0,0000-00-00,0.806452,2013-09-23,0,0000-00-00,0,0000-00-00,0,2013-02-05,0.56,2
0.314286,0.4,0.555556,0.588235,0.384615,0.806452,2013-07-11,0.677419,2013-07-24,0.741935,2013-06-20,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.4,0
0.31746,0.4,0.555556,0.588235,0.307692,0.83871,2013-07-11,0,0000-00-00,0.580645,2013-07-18,0.709677,2013-07-18,0,0000-00-00,0,0000-00-00,0.52,2
0.320635,0.4,0.777778,0.764706,0.692308,0.967742,2013-06-21,0.806452,2013-07-08,0.967742,2013-07-18,0,0000-00-00,0.677419,2013-06-12,0,2013-04-16,0.44,0
0.32381,0.4,0.555556,0.588235,0.538462,0.806452,2013-07-11,0,0000-00-00,0.677419,2013-07-18,0.967742,2013-06-27,0,0000-00-00,0,0000-00-00,0.64,2
0.326984,0.4,0.555556,0.529412,0.769231,0.967742,2013-09-19,0,0000-00-00,0,0000-00-00,1,2013-07-18,0.741935,2013-07-03,0,2013-12-02,0.72,1
